number	korean	english
1	가게	store
2	가격	price
3	가구	furniture
4	가깝다	close
5	가끔	sometimes
6	가늘다	thin
7	가다	go
8	가득	full
9	가르치다	teach
10	가리키다	point
11	가방	bag
12	가볍다	light
13	가수	singer
14	가슴	chest
15	가요	song
16	가운데	middle
17	가위	scissor
18	가을	autumn
19	가장	most, best
20	가져가다	take away
21	가져오다	bring
22	가족	family
23	가지	kind, sort
24	가지다	have
25	각각	each
26	간단하다	simple
27	간단히	simply
28	간식	snack
29	간장	soy sauce
30	간호사	nurse
31	갈비	rip, galbi
32	갈비탕	galbitang, short rip soup
33	갈색	brown
34	갈아입다	change
35	갈아타다	transfer
36	감	persimmon
37	감기	cold
38	감기약	cold medicine
39	감다	close
40	감다	wash
41	감사	thanks
42	감자	potato
43	갑자기	suddenly
44	값	value
45	강	river
46	강아지	puppy
47	강하다	strong
48	갖다	have
49	같다	same
50	같이	together
51	갚다	pay back
52	개	dog
53	개	(counting unit)
54	개월	month
55	거	thing
56	거기	there
57	거리	street, road
58	거리	distance
59	거실	living room
60	거울	mirror
61	거의	almost, nearly
62	거절	rejection
63	거짓말	lie
64	걱정	worry
65	건강	health
66	건너가다	cross over
67	건너다	cross
68	건너편	other side
69	건물	building
70	걷다	walk
71	걸다	hang
72	걸리다	be hung, catch
73	걸어가다	walk
74	걸어오다	walk
75	걸음	step
76	검사	inspection
77	검은색	black color
78	검정	black
79	것	thing
80	겉	outside
81	게으르다	lazy
82	게임	game
83	겨울	winter
84	결과	result
85	결석	absent
86	결심	determination
87	결정	decision
88	결혼	marriage
89	결혼식	wedding ceremony
90	경기	match
91	경찰	police
92	경찰서	police office
93	경치	scenery; view
94	경험	experience
95	계단	stairs
96	계란	egg
97	계산	calculation
98	계속	continue
99	계시다	be there, stay
100	계절	season
101	계획	plan
102	고개	head
103	고기	meat
104	고등학교	high school
105	고등학생	high school student
106	고르다	pick
107	고맙다	thank you
108	고모	aunt
109	고민	worry
110	고속버스	express bus
111	고양이	cat
112	고장	breakdown, failure
113	고추장	red pepper paste
114	고치다	fix
115	고프다	hungry
116	고향	hometown
117	곧	soon
118	곳	place
119	공	ball
120	공무원	public official
121	공부	study
122	공원	park
123	공장	factory
124	공짜	free
125	공책	notebook
126	공항	airport
127	공휴일	holiday
128	과거	past
129	과일	fruit
130	과자	sweets
131	관계	relationship
132	관광	tourism
133	관광객	tourist
134	관광지	tourist destination
135	관심	interest
136	광고	advertisement
137	광주	Gwangju
138	괜찮다	okay
139	괴로워하다	suffer
140	교과서	textbook
141	교사	teacher
142	교수	professor
143	교실	classroom
144	교육	education
145	교통	transportation
146	교통비	transportation fee
147	교통사고	traffic accident
148	교환	exchange
149	교회	church
150	구	nine
151	구경	sightseeing
152	구두	shoes
153	구름	cloud
154	구십	ninety
155	구월	September
156	국	soup
157	국내	domestic
158	국수	noodle
159	국적	nationality
160	국제	international
161	군인	soldier
162	굳다	harden/hard
163	굵다	thick, big
164	굽다	bake, roast, grill
165	궁금하다	curious
166	권	volume
167	귀	ear
168	귀걸이	earring
169	귀여워하다	love, adore
170	귀엽다	cute
171	귀찮다	bother, feel annoyed
172	규칙	rule
173	귤	tangerine
174	그	that
175	그거	it
176	그것	that
177	그곳	there
178	그날	that day
179	그냥	just
180	그대로	as it is
181	그동안	meantime
182	그때	at that time
183	그래	yes, ok
184	그래서	therefore
185	그러나	but
186	그러니까	so
187	그러면	then
188	그러므로	therefore
189	그런	such
190	그런데	by the way
191	그럼	then
192	그럼	yes, of course
193	그렇다	yes
194	그렇지만	but
195	그릇	bowl
196	그리고	and
197	그리다	draw
198	그림	figure
199	그립다	miss
200	그만	stop
201	그만두다	quit, leave
202	그분	him
203	그저께	day before yesterday
204	그쪽	that way, there
205	그치다	stop
206	극장	theater
207	근처	around, near
208	글	writing
209	글쎄	well
210	글쎄요	well
211	글씨	writing
212	글자	letter
213	금방	a moment ago
214	금요일	friday
215	금지	ban, prohibition
216	급하다	in a hurry
217	기간	period
218	기다리다	wait
219	기르다	cultivate, raise
220	기름	oil
221	기말시험	final exam
222	기분	mood
223	기뻐하다	be happy
224	기쁘다	happy
225	기쁨	pleasure
226	기숙사	dormitory
227	기억	memory
228	기억나다	remember
229	기온	temperature
230	기자	reporter
231	기차	train
232	기차역	train station
233	기차표	train ticket
234	기침	cough
235	기타	other
236	기회	opportunity
237	긴장	tension
238	길	street, road
239	길다	long
240	길이	length
241	김	laver, seaweed
242	김밥	kimbap
243	김치	kimchi
244	김치찌개	kimchi stew
245	깊다	deep
246	깊이	depth
247	까만색	black color
248	까맣다	black
249	깎다	cut
250	깜짝	surprise
251	깨끗이	clean
252	깨끗하다	clean
253	깨다	wake up
254	꺼내다	take out
255	껌	chewing gum
256	꼭	surely
257	꽃	flower
258	꽃다발	bouquet
259	꽃병	vase
260	꽃집	florist, flower shop
261	꾸다	dream
262	꿈	a dream
263	끄다	turn off
264	끊다	quit
265	끓다	(sth) boil
266	끓이다	boil (sth)
267	끝	end
268	끝나다	(sth) end, finish
269	끝내다	finish (sth)
270	끼다	wear
271	나	I
272	나가다	go out
273	나누다	divide, split
274	나다	happen
275	나라	country
276	나머지	remainder, the rest
277	나무	tree
278	나쁘다	bad
279	나오다	come out
280	나이	age
281	나중	later
282	나타나다	appear
283	나흘	four days
284	낚시	fishing
285	날	day
286	날다	fly
287	날씨	weather
288	날씬하다	slim
289	날아다니다	fly around
290	날짜	date
291	남	other
292	남기다	leave
293	남녀	male and female
294	남다	remain, be left
295	남대문	Namdaemun
296	남동생	brother
297	남산	Namsan
298	남성	male
299	남자	man
300	남쪽	South
301	남편	husband
302	남학생	male student
303	낫다	recover, be better
304	낫다	better
305	낮	daytime
306	낮다	low
307	낮잠	nap
308	내	my
309	내과	internal medicine
310	내년	next year
311	내다	give, set
312	내려가다	go down
313	내려오다	come down
314	내리다	get off, fall
315	내용	content
316	내일	tomorrow
317	냄비	pot
318	냄새	smell
319	냉면	cold noodle
320	냉장고	refrigerator
321	너	you
322	너무	too
323	너희	your
324	넓다	wide
325	넘다	over
326	넘어지다	fall down
327	넣다	put, place, lay
328	네	you
329	네	four
330	네	yes
331	넥타이	necktie
332	넷	four
333	넷째	fourth
334	년	year
335	노란색	yellow color
336	노랗다	yellow
337	노래	song
338	노래방	karaoke
339	노력	effort
340	노인	old man
341	노트	note
342	녹색	green
343	녹차	green tea
344	놀다	play
345	놀라다	surprised
346	놀이	play, game
347	농구	basketball
348	농담	joke
349	높다	high
350	높이	height
351	높이	high, highly
352	놓다	put, lay down
353	누구	who
354	누나	sister
355	누르다	press
356	눈	eye
357	눈	snow
358	눈물	tears
359	눕다	lie down
360	뉴스	news
361	느끼다	feel
362	느낌	feeling
363	느리다	slow
364	늘	always, all the time
365	늘다	increase
366	늙다	old
367	능력	ability
368	늦다	late
369	다	all
370	다녀오다	be back
371	다니다	to go
372	다르다	different
373	다른	different
374	다리	leg
375	다리	bridge
376	다림질	ironing
377	다섯	five
378	다섯째	fifth
379	다시	again
380	다양	various
381	다음	next
382	다음날	next day
383	다이어트	diet
384	다치다	hurt
385	다하다	fulfill
386	닦다	polish
387	단순	simple
388	단어	word
389	단추	button
390	단풍	autumn leaves
391	닫다	close
392	달	month
393	달걀	egg
394	달다	sweet
395	달력	calendar
396	달리기	running
397	달리다	run
398	닭	chicken
399	닭고기	chicken meat
400	닮다	resemble
401	담배	tobacco, cigar
402	답	answer
403	답답하다	stuffy
404	답장	reply
405	대	(unit of machines)
406	대구	Daegu
407	대답	answer
408	대부분	most
409	대사관	embassy
410	대전	Daejeon
411	대학	university
412	대학교	university
413	대학생	college student
414	대학원	graduate school
415	대화	conversation
416	대회	competition
417	댁	home
418	더	more
419	더럽다	dirty
420	더욱	more, even
421	덕분	thanks
422	던지다	throw
423	덥다	hot
424	데려가다	take
425	데려오다	bring
426	데이트	date
427	도	degree
428	도로	road
429	도서관	library
430	도시	city ​​
431	도와주다	help
432	도움	help
433	도착	arrival
434	독서	reading
435	독일	Germany
436	돈	money
437	돈가스	pork cutlet
438	돌	stone
439	돌다	spin
440	돌려주다	give back, return
441	돌리다	turn
442	돌아가다	rotate, return
443	돌아오다	come back
444	돕다	help
445	동네	town, local
446	동대문	Dong Dae Moon
447	동물	animal
448	동물원	zoo
449	동생	brother
450	동시	simultaneous
451	동안	while
452	동전	coin
453	동쪽	east
454	돼지	pig
455	돼지고기	pork
456	되다	become
457	-되다	be (passive)
458	된장	soybean paste
459	된장찌개	soybean paste stew
460	두	two
461	두껍다	thick
462	두다	put
463	두부	tofu
464	두세	two to three
465	두통	headache
466	둘	two
467	둘째	second
468	뒤	back
469	뒤쪽	(direction) back
470	드디어	finally
471	드라마	drama
472	드리다	give
473	듣다	listen
474	들다	cost
475	들다	lift
476	들르다	drop by
477	들리다	hear
478	들어가다	enter
479	들어오다	come into
480	등	(body) back
481	등산	climbing
482	디자인	design
483	따뜻하다	warm
484	따로	separately
485	딸	daughter
486	딸기	strawberry
487	땀	sweat
488	땅	land
489	때	when
490	떠나다	leave
491	떠들다	talk
492	떡	rice cake
493	떡국	Rice cake soup
494	떡볶이	Tteokbokki, rice cake
495	떨어지다	drop, fall
496	또	again
497	또는	or
498	똑같다	same
499	똑같이	same
500	똑똑하다	smart
501	똑바로	straight
502	뚱뚱하다	fat
503	뛰다	run
504	뛰어가다	run
505	뜨겁다	hot
506	뜨다	open (eye)
507	뜻	meaning
508	라디오	radio
509	라면	Ramen
510	러시아	Russia
511	레스토랑	restaurant
512	마당	yard
513	마르다	dry
514	마리	(unit of animals)
515	마시다	drink
516	마을	village
517	마음	heart
518	마중	meet
519	마지막	last
520	마치다	finish, end
521	마트	mart
522	마흔	forty
523	막걸리	Makgeolli, rice wine
524	막히다	blocked
525	만	ten thousand
526	만나다	meet
527	만두	dumpling
528	만들다	make
529	만약	what if
530	만일	just in case
531	만지다	touch
532	만화	cartoon
533	많다	many
534	많이	a lot of
535	말	talk, speak
536	말	horse
537	말	end
538	말다	stop
539	말레이시아	Malaysia
540	말씀	words
541	맑다	clear
542	맛	taste
543	맛없다	not delicious
544	맛있다	delicious
545	맞다	right
546	맞추다	guess, adjust
547	매년	every year
548	매다	tie, fasten
549	매달	medal
550	매우	very
551	매일	everyday
552	매주	weekly
553	매표소	ticket box
554	맥주	beer
555	맵다	spicy
556	머리	head
557	머리카락	hair
558	먹다	eat
559	먼저	first
560	멀다	far
561	멀리	far
562	멈추다	stop
563	멋	fashion
564	멋있다	cool
565	메뉴	menu
566	메다	carry
567	메모	memo
568	메시지	message
569	메일	mail
570	며칠	several days
571	명	person
572	명절	holiday
573	몇	some, several
574	모기	mosquito
575	모두	all
576	모든	every
577	모레	day after tomorrow
578	모르다	don't know
579	모습	appearance
580	모시다	look after
581	모양	shape
582	모으다	gather (sth)
583	모이다	be gathered
584	모임	meeting
585	모자	hat
586	모자라다	insufficient
587	목	neck
588	목걸이	necklace
589	목도리	scarf
590	목소리	voice
591	목요일	thursday
592	목욕	bath
593	목욕탕	bathhouse
594	목적	purpose
595	몸	body
596	못	can't
597	못생기다	ugly
598	못하다	can't do
599	몽골	Mongolia
600	무	radish
601	무겁다	heavy
602	무게	weight
603	무궁화	Mugunghwa
604	무료	free
605	무릎	knee
606	무섭다	scary
607	무슨	what
608	무엇	what, anything
609	무척	very
610	문	door
611	문제	problem
612	문화	culture
613	묻다	ask
614	물	water
615	물건	thing
616	물고기	fish
617	물론	of course
618	물어보다	ask
619	뭐	what
620	미국	USA
621	미끄러지다	slip
622	미래	future
623	미리	in advance
624	미술관	art gallery
625	미안	sorry
626	미역국	seaweed soup
627	미용실	beauty salon
628	미터	meter
629	믿다	trust, believe
630	밀가루	flour
631	밀다	push
632	밑	bottom
633	바깥	outside
634	바깥쪽	the outside
635	바꾸다	change (something)
636	바뀌다	be changed
637	바나나	banana
638	바다	ocean
639	바닥	floor
640	바닷가	beach
641	바라다	hope
642	바라보다	look at
643	바람	wind
644	바로	right
645	바르다	apply (location)
646	바쁘다	busy
647	바이올린	violin
648	바지	pants
649	박물관	museum
650	박수	applause, clap
651	밖	outside
652	반	half
653	반	class
654	반갑다	glad, welcome
655	반대	the opposite
656	반드시	certainly, definitely
657	반바지	shorts
658	반지	ring
659	반찬	side dish
660	받다	receive
661	받아쓰다	dictate
662	발	foot
663	발가락	toes
664	발바닥	sole
665	밝다	bright
666	밤	night
667	밥	rice, meal
668	방	room
669	방금	just
670	방문	door
671	방문	visit
672	방법	way, method
673	방송	broadcast
674	방송국	broadcast station
675	방학	vacation
676	방향	direction
677	배	belly
678	배	ship
679	배	pear
680	배	(two) times
681	배달	delivery
682	배드민턴	badminton
683	배우	actor
684	배우다	learn
685	배추	cabbage
686	배탈	stomachache
687	백	one hundred
688	백만	million
689	백화점	department store
690	뱀	snake
691	버릇	habit
692	버리다	throw away
693	버스	bus
694	번	number
695	번째	(number)-th
696	번호	number
697	벌	(unit of clothes)
698	벌다	earn
699	벌써	already
700	벗다	Take off
701	베트남	Vietnam
702	벽	wall
703	변하다	change
704	변호사	lawyer
705	별	star
706	별로	not very
707	병	sick, disease
708	병	bottle
709	병문안	visit (a sick person)
710	병원	hospital
711	보내다	send / spend
712	보다	see, watch
713	보다	more
714	보라색	purple
715	보이다	be seen
716	보이다	show
717	보통	usually, average
718	복습	review
719	복잡하다	complex
720	볶다	fry
721	볶음밥	fried rice
722	볼펜	ballpoint pen
723	봄	spring
724	봉투	envelope
725	뵙다	(honorific) meet
726	부끄럽다	embarrassed
727	부드럽다	soft
728	부럽다	envy
729	부르다	call
730	부르다	full
731	부모님	parents
732	부부	couple
733	부분	part
734	부산	Busan
735	부엌	kitchen
736	부인	wife
737	부자	the rich
738	부장	manager
739	부족	lack
740	부지런하다	diligent
741	부치다	send
742	부탁	request
743	북쪽	north
744	분	person
745	분	minute
746	분명하다	clear
747	분식	bunsik, snacks
748	분위기	atmosphere
749	분홍색	pink
750	불	fire
751	불고기	bulgogi (food)
752	불다	blow
753	불쌍하다	pitiful
754	불안	anxiety
755	불편	discomfort
756	붉다	red
757	붙다	stick, paste
758	붙이다	stick, paste
759	블라우스	blouse
760	비	rain
761	비교	comparison
762	비누	soap
763	비다	empty
764	비디오	video
765	비밀	secret
766	비빔밥	bibimbap (mixed rice)
767	비슷하다	similar
768	비싸다	expensive
769	비행기	airplane
770	빌딩	building
771	빌리다	borrow
772	빠르다	fast
773	빠지다	fall in
774	빨간색	read color
775	빨갛다	red
776	빨다	wash, clean
777	빨래	wash
778	빨리	hurry
779	빵	bread
780	빵집	bakery
781	빼다	subtract, remove
782	뽑다	pull out
783	사	four
784	사거리	intersection
785	사계절	four seasons
786	사고	accident
787	사과	apple
788	사귀다	date
789	사다	buy
790	사람	person
791	사랑	love
792	사무실	office
793	사실	fact
794	사십	fourty
795	사업	business
796	사용	usage
797	사월	April
798	사이	between
799	사이다	cider (beverage)
800	사이즈	size
801	사장	president
802	사전	dictionary
803	사진	picture
804	사탕	candy
805	사흘	three days
806	산	mountain
807	산책	walk
808	살	weight
809	살	year old
810	살다	live
811	삼	three
812	삼거리	3-way intersection
813	삼겹살	pork belly
814	삼계탕	samgyetang (food)
815	삼십	thirty
816	삼월	March
817	삼촌	uncle
818	상	award
819	상자	box
820	상처	wound
821	상추	lettuce
822	상품	product
823	새	bird
824	새	new
825	새로	newly
826	새롭다	new, fresh
827	새벽	dawn
828	새해	new year
829	색	color
830	색깔	color
831	샌드위치	sandwich
832	생각	thought
833	생각나다	think of
834	생기다	be formed
835	생선	fish
836	생신	(honorific) birthday
837	생일	birthday
838	생활	life
839	샤워	shower
840	서너	three or four
841	서다	stand
842	서두르다	hurry
843	서랍	drawer
844	서로	each other
845	서류	document
846	서른	thirty
847	서비스	service
848	서양	western
849	서울	Seoul
850	서점	bookstore
851	서쪽	west
852	섞다	mix
853	선물	gift
854	선배	senior
855	선생님	teacher
856	선선하다	cool
857	선수	player
858	선택	select
859	선풍기	fan
860	설거지	dish wash
861	설날	(Lunar) New Year
862	설렁탕	(food) seolleongtang
863	설명	explanation
864	설탕	sugar
865	섬	island
866	섭섭하다	sorry, regrettable
867	성	family name
868	성격	personality
869	성공	success
870	성적	grade
871	성함	name
872	세	three
873	세	age
874	세계	world
875	세다	strong
876	세배	New year's bow
877	세상	world
878	세수	wash up
879	세우다	stand
880	세탁	laundry
881	세탁기	washing machine
882	세탁소	laundry, washhouse
883	센터	center
884	센티미터	centimeter
885	셋	three
886	셋째	third
887	소	cow
888	소개	introduction
889	소고기	beef
890	소금	salt
891	소리	sound
892	소설	novel
893	소식	news
894	소주	soju (beverage)
895	소중하다	precious
896	소파	sofa
897	소포	parcel
898	소풍	picnic
899	소화제	digestive medicine
900	속	inside
901	속도	speed
902	속옷	underwear
903	손	hand
904	손가락	finger
905	손녀	granddaughter
906	손님	guest
907	손바닥	palm
908	손수건	handkerchief
909	송편	songpyeon (cake)
910	쇼핑	shopping
911	수	number
912	수건	towel
913	수고	hard work
914	수박	watermelon
915	수술	surgery
916	수업	lesson
917	수영	swimming
918	수영복	swimsuit
919	수영장	swimming pool
920	수요일	Wednesday
921	수저	spoon
922	수첩	notebook
923	숙제	homework
924	순두부찌개	tofu stew (food)
925	순서	order
926	숟가락	spoon
927	술	alcohol
928	술집	bar
929	숫자	number
930	쉬다	rest
931	쉬다	breathe
932	쉰	fifty
933	쉽다	easy
934	슈퍼마켓	supermarket
935	스무	twenty
936	스물	twenty
937	스스로	oneself
938	스웨터	sweater
939	스카프	scarf
940	스케이트	skate
941	스키	ski
942	스키장	ski resort
943	스타	star
944	스트레스	stress
945	스파게티	pasta
946	스포츠	sports
947	슬퍼하다	sorrow
948	슬프다	sad
949	슬픔	sadness
950	습관	habit
951	시	city
952	시	hour
953	시간	time
954	시간표	schedule
955	시계	watch
956	시골	countryside
957	시끄럽다	noisy
958	시내	downtown
959	시다	sour, acidic
960	시민	citizen
